startDateTime,endDateTime,VSWCMean,VSWCMinimum,VSWCMaximum,VSWCVariance,VSWCNumPts,VSWCExpUncert,VSWCStdErMean,VSWCFinalQF,VSICMean,VSICMinimum,VSICMaximum,VSICVariance,VSICNumPts,VSICExpUncert,VSICStdErMean,VSICFinalQF
"2019-01-01T00:00:00Z","2019-01-01T00:30:00Z",0.1164,0.1159,0.1166,0.0000,180,0.2135,0.0000,0,1572.525,1568.868,1580.576,7.077,180,0.397,0.198,0
"2019-01-01T00:30:00Z","2019-01-01T01:00:00Z",0.1162,0.1157,0.1164,0.0000,180,0.2135,0.0000,0,1574.472,1571.069,1582.409,6.259,180,0.373,0.186,0
"2019-01-01T01:00:00Z","2019-01-01T01:30:00Z",0.1159,0.1155,0.1162,0.0000,174,0.2135,0.0000,0,1577.558,1572.852,1585.459,12.883,180,0.535,0.268,0
"2019-01-01T01:30:00Z","2019-01-01T02:00:00Z",0.1156,0.1152,0.1160,0.0000,180,0.2135,0.0000,0,1581.286,1574.248,1587.224,13.301,178,0.547,0.273,0
"2019-01-01T02:00:00Z","2019-01-01T02:30:00Z",0.1153,0.1150,0.1159,0.0000,180,0.2135,0.0000,0,1585.251,1576.454,1589.833,11.938,167,0.535,0.267,0
"2019-01-01T02:30:00Z","2019-01-01T03:00:00Z",0.1152,0.1149,0.1156,0.0000,180,0.2135,0.0000,0,1584.275,1578.665,1590.267,12.711,173,0.542,0.271,0
"2019-01-01T03:00:00Z","2019-01-01T03:30:00Z",0.1150,0.1146,0.1154,0.0000,180,0.2135,0.0000,0,1586.202,1580.398,1591.971,10.565,174,0.493,0.246,0
"2019-01-01T03:30:00Z","2019-01-01T04:00:00Z",0.1148,0.1145,0.1152,0.0000,179,0.2135,0.0000,0,1588.778,1581.278,1593.250,11.934,177,0.519,0.260,0
"2019-01-01T04:00:00Z","2019-01-01T04:30:00Z",0.1148,0.1145,0.1151,0.0000,180,0.2135,0.0000,0,1589.180,1582.139,1594.105,11.177,180,0.498,0.249,0
"2019-01-01T04:30:00Z","2019-01-01T05:00:00Z",0.1147,0.1144,0.1151,0.0000,180,0.2135,0.0000,0,1590.769,1584.698,1595.395,11.975,170,0.531,0.265,0
"2019-01-01T05:00:00Z","2019-01-01T05:30:00Z",0.1148,0.1144,0.1150,0.0000,179,0.2135,0.0000,0,1589.166,1584.698,1597.123,10.600,179,0.487,0.243,0
"2019-01-01T05:30:00Z","2019-01-01T06:00:00Z",0.1149,0.1144,0.1153,0.0000,170,0.2135,0.0000,0,1588.092,1580.422,1597.123,6.615,180,0.383,0.192,0
"2019-01-01T06:00:00Z","2019-01-01T06:30:00Z",0.1160,0.1148,0.1169,0.0000,180,0.2135,0.0000,0,1569.250,1554.869,1589.834,87.088,178,1.399,0.699,0
"2019-01-01T06:30:00Z","2019-01-01T07:00:00Z",0.1191,0.1167,0.1215,0.0000,179,0.2135,0.0001,0,1519.253,1492.423,1556.124,408.479,179,3.021,1.511,0
"2019-01-01T07:00:00Z","2019-01-01T07:30:00Z",0.1234,0.1213,0.1253,0.0000,180,0.2135,0.0001,0,1487.136,1481.781,1492.691,9.260,180,0.454,0.227,0
"2019-01-01T07:30:00Z","2019-01-01T08:00:00Z",0.1267,0.1252,0.1281,0.0000,180,0.2135,0.0001,0,1479.045,1475.695,1482.477,3.742,180,0.288,0.144,0
"2019-01-01T08:00:00Z","2019-01-01T08:30:00Z",0.1291,0.1278,0.1303,0.0000,180,0.2135,0.0000,0,1474.611,1472.931,1476.783,0.883,180,0.140,0.070,0
"2019-01-01T08:30:00Z","2019-01-01T09:00:00Z",0.1312,0.1300,0.1322,0.0000,179,0.2135,0.0000,0,1472.518,1471.239,1474.116,0.268,179,0.077,0.039,0
"2019-01-01T09:00:00Z","2019-01-01T09:30:00Z",0.1329,0.1317,0.1337,0.0000,180,0.2135,0.0000,0,1471.408,1469.469,1473.895,0.736,180,0.128,0.064,0
"2019-01-01T09:30:00Z","2019-01-01T10:00:00Z",0.1343,0.1333,0.1351,0.0000,180,0.2135,0.0000,0,1469.617,1468.405,1471.526,0.382,180,0.092,0.046,0
"2019-01-01T10:00:00Z","2019-01-01T10:30:00Z",0.1353,0.1341,0.1363,0.0000,180,0.2135,0.0000,0,1469.947,1468.641,1471.616,0.424,180,0.097,0.049,0
"2019-01-01T10:30:00Z","2019-01-01T11:00:00Z",0.1364,0.1350,0.1372,0.0000,179,0.2135,0.0000,0,1469.639,1468.255,1472.085,0.487,179,0.104,0.052,0
"2019-01-01T11:00:00Z","2019-01-01T11:30:00Z",0.1370,0.1363,0.1378,0.0000,180,0.2135,0.0000,0,1469.918,1468.311,1471.065,0.331,180,0.086,0.043,0
"2019-01-01T11:30:00Z","2019-01-01T12:00:00Z",0.1377,0.1370,0.1386,0.0000,180,0.2135,0.0000,0,1469.862,1468.317,1471.465,0.327,180,0.085,0.043,0
"2019-01-01T12:00:00Z","2019-01-01T12:30:00Z",0.1382,0.1375,0.1391,0.0000,180,0.2135,0.0000,0,1470.067,1468.641,1471.487,0.245,180,0.074,0.037,0
"2019-01-01T12:30:00Z","2019-01-01T13:00:00Z",0.1387,0.1384,0.1394,0.0000,180,0.2135,0.0000,0,1469.862,1468.479,1471.058,0.232,180,0.072,0.036,0
"2019-01-01T13:00:00Z","2019-01-01T13:30:00Z",0.1392,0.1389,0.1399,0.0000,180,0.2135,0.0000,0,1469.816,1467.900,1470.950,0.148,180,0.057,0.029,0
"2019-01-01T13:30:00Z","2019-01-01T14:00:00Z",0.1395,0.1391,0.1400,0.0000,179,0.2135,0.0000,0,1469.808,1468.673,1470.967,0.215,179,0.069,0.035,0
"2019-01-01T14:00:00Z","2019-01-01T14:30:00Z",0.1400,0.1395,0.1405,0.0000,180,0.2135,0.0000,0,1469.489,1468.383,1471.057,0.279,180,0.079,0.039,0
"2019-01-01T14:30:00Z","2019-01-01T15:00:00Z",0.1405,0.1401,0.1411,0.0000,180,0.2135,0.0000,0,1469.513,1468.105,1470.781,0.321,180,0.084,0.042,0
"2019-01-01T15:00:00Z","2019-01-01T15:30:00Z",0.1409,0.1404,0.1415,0.0000,180,0.2135,0.0000,0,1469.484,1468.459,1470.922,0.314,180,0.084,0.042,0
"2019-01-01T15:30:00Z","2019-01-01T16:00:00Z",0.1414,0.1411,0.1419,0.0000,179,0.2135,0.0000,0,1469.282,1468.332,1470.719,0.245,179,0.074,0.037,0
"2019-01-01T16:00:00Z","2019-01-01T16:30:00Z",0.1419,0.1414,0.1425,0.0000,180,0.2135,0.0000,0,1469.287,1467.619,1470.348,0.167,180,0.061,0.030,0
"2019-01-01T16:30:00Z","2019-01-01T17:00:00Z",0.1425,0.1421,0.1432,0.0000,180,0.2135,0.0000,0,1469.252,1467.627,1470.191,0.367,180,0.090,0.045,0
"2019-01-01T17:00:00Z","2019-01-01T17:30:00Z",0.1433,0.1428,0.1439,0.0000,180,0.2135,0.0000,0,1469.158,1467.299,1470.071,0.294,180,0.081,0.040,0
"2019-01-01T17:30:00Z","2019-01-01T18:00:00Z",0.1439,0.1434,0.1445,0.0000,180,0.2135,0.0000,0,1469.198,1467.904,1469.990,0.140,180,0.056,0.028,0
"2019-01-01T18:00:00Z","2019-01-01T18:30:00Z",0.1446,0.1441,0.1453,0.0000,180,0.2135,0.0000,0,1468.899,1467.821,1469.658,0.133,180,0.054,0.027,0
"2019-01-01T18:30:00Z","2019-01-01T19:00:00Z",0.1457,0.1448,0.1468,0.0000,180,0.2135,0.0000,0,1468.320,1467.008,1469.318,0.169,180,0.061,0.031,0
"2019-01-01T19:00:00Z","2019-01-01T19:30:00Z",0.1472,0.1461,0.1482,0.0000,180,0.2135,0.0000,0,1467.673,1466.530,1468.764,0.225,180,0.071,0.035,0
"2019-01-01T19:30:00Z","2019-01-01T20:00:00Z",0.1486,0.1479,0.1493,0.0000,180,0.2135,0.0000,0,1467.904,1466.994,1468.613,0.125,180,0.053,0.026,0
"2019-01-01T20:00:00Z","2019-01-01T20:30:00Z",0.1507,0.1492,0.1521,0.0000,180,0.2135,0.0001,0,1467.225,1466.037,1468.217,0.157,180,0.059,0.030,0
"2019-01-01T20:30:00Z","2019-01-01T21:00:00Z",0.1537,0.1519,0.1553,0.0000,180,0.2135,0.0001,0,1466.946,1465.593,1467.616,0.118,180,0.051,0.026,0
"2019-01-01T21:00:00Z","2019-01-01T21:30:00Z",0.1566,0.1553,0.1579,0.0000,179,0.2135,0.0000,0,1467.150,1465.983,1468.377,0.199,179,0.067,0.033,0
"2019-01-01T21:30:00Z","2019-01-01T22:00:00Z",0.1582,0.1574,0.1590,0.0000,180,0.2135,0.0000,0,1468.003,1467.078,1468.756,0.093,180,0.045,0.023,0
"2019-01-01T22:00:00Z","2019-01-01T22:30:00Z",0.1595,0.1589,0.1603,0.0000,180,0.2135,0.0000,0,1468.791,1467.449,1469.792,0.314,180,0.084,0.042,0
"2019-01-01T22:30:00Z","2019-01-01T23:00:00Z",0.1601,0.1598,0.1605,0.0000,180,0.2135,0.0000,0,1469.683,1468.858,1470.288,0.088,180,0.044,0.022,0
"2019-01-01T23:00:00Z","2019-01-01T23:30:00Z",0.1603,0.1600,0.1608,0.0000,180,0.2135,0.0000,0,1469.764,1468.761,1470.364,0.073,180,0.040,0.020,0
"2019-01-01T23:30:00Z","2019-01-02T00:00:00Z",0.1599,0.1595,0.1602,0.0000,179,0.2135,0.0000,0,1470.439,1469.334,1472.353,0.363,179,0.090,0.045,0
"2019-01-02T00:00:00Z","2019-01-02T00:30:00Z",0.1596,0.1592,0.1601,0.0000,180,0.2135,0.0000,0,1469.944,1468.972,1471.721,0.237,180,0.073,0.036,0
"2019-01-02T00:30:00Z","2019-01-02T01:00:00Z",0.1592,0.1586,0.1596,0.0000,180,0.2135,0.0000,0,1469.385,1468.419,1470.305,0.193,180,0.066,0.033,0
"2019-01-02T01:00:00Z","2019-01-02T01:30:00Z",0.1586,0.1583,0.1591,0.0000,180,0.2135,0.0000,0,1469.724,1468.435,1471.637,0.349,180,0.088,0.044,0
"2019-01-02T01:30:00Z","2019-01-02T02:00:00Z",0.1582,0.1579,0.1587,0.0000,180,0.2135,0.0000,0,1469.070,1468.336,1470.871,0.105,180,0.048,0.024,0
"2019-01-02T02:00:00Z","2019-01-02T02:30:00Z",0.1580,0.1577,0.1585,0.0000,180,0.2135,0.0000,0,1468.612,1467.707,1469.320,0.094,180,0.046,0.023,0
"2019-01-02T02:30:00Z","2019-01-02T03:00:00Z",0.1579,0.1575,0.1584,0.0000,180,0.2135,0.0000,0,1467.785,1466.284,1469.188,0.279,180,0.079,0.039,0
"2019-01-02T03:00:00Z","2019-01-02T03:30:00Z",0.1576,0.1570,0.1584,0.0000,180,0.2135,0.0000,0,1467.519,1466.207,1468.509,0.203,180,0.067,0.034,0
"2019-01-02T03:30:00Z","2019-01-02T04:00:00Z",0.1571,0.1566,0.1579,0.0000,180,0.2135,0.0000,0,1467.601,1465.975,1468.563,0.153,180,0.058,0.029,0
"2019-01-02T04:00:00Z","2019-01-02T04:30:00Z",0.1570,0.1565,0.1578,0.0000,180,0.2135,0.0000,0,1466.960,1465.425,1468.010,0.379,180,0.092,0.046,0
"2019-01-02T04:30:00Z","2019-01-02T05:00:00Z",0.1569,0.1563,0.1575,0.0000,180,0.2135,0.0000,0,1466.413,1464.983,1468.089,0.321,180,0.084,0.042,0
"2019-01-02T05:00:00Z","2019-01-02T05:30:00Z",0.1565,0.1561,0.1571,0.0000,180,0.2135,0.0000,0,1466.399,1464.959,1467.408,0.230,180,0.072,0.036,0
"2019-01-02T05:30:00Z","2019-01-02T06:00:00Z",0.1562,0.1556,0.1570,0.0000,180,0.2135,0.0000,0,1466.352,1464.882,1467.645,0.344,180,0.087,0.044,0
"2019-01-02T06:00:00Z","2019-01-02T06:30:00Z",0.1557,0.1551,0.1565,0.0000,179,0.2135,0.0000,0,1466.672,1465.121,1468.144,0.339,179,0.087,0.044,0
"2019-01-02T06:30:00Z","2019-01-02T07:00:00Z",0.1557,0.1553,0.1561,0.0000,180,0.2135,0.0000,0,1465.868,1464.545,1466.934,0.244,180,0.074,0.037,0
